Price,Close,High,Low,Open,Volume
Ticker,EQPA5.SA,EQPA5.SA,EQPA5.SA,EQPA5.SA,EQPA5.SA
Date,,,,,
2024-04-11,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-12,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-15,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-16,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-17,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-18,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-19,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-22,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-23,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-24,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-25,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-26,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-29,6.867591381072998,6.867591381072998,6.867591381072998,6.867591381072998,0
2024-04-30,8.241109848022461,8.241109848022461,8.241109848022461,8.241109848022461,200
2024-05-02,9.0,9.0,9.0,9.0,0
2024-05-03,9.0,9.0,9.0,9.0,0
2024-05-06,9.0,9.0,9.0,9.0,0
2024-05-07,9.0,9.0,9.0,9.0,0
2024-05-08,9.0,9.0,9.0,9.0,0
2024-05-09,9.0,9.0,9.0,9.0,0
2024-05-10,9.0,9.0,9.0,9.0,0
2024-05-13,9.0,9.0,9.0,9.0,0
2024-05-14,9.0,9.0,9.0,9.0,0
2024-05-15,9.0,9.0,9.0,9.0,0
2024-05-16,9.0,9.0,9.0,9.0,0
2024-05-17,9.0,9.0,9.0,9.0,0
2024-05-20,9.0,9.0,9.0,9.0,0
2024-05-21,9.0,9.0,9.0,9.0,0
2024-05-22,9.0,9.0,9.0,9.0,0
2024-05-23,9.0,9.0,9.0,9.0,0
2024-05-24,9.0,9.0,9.0,9.0,0
2024-05-27,9.0,9.0,9.0,9.0,0
2024-05-28,9.0,9.0,9.0,9.0,0
2024-05-29,9.0,9.0,9.0,9.0,0
2024-05-31,9.0,9.0,9.0,9.0,0
2024-06-03,9.0,9.0,9.0,9.0,0
2024-06-04,9.0,9.0,9.0,9.0,0
2024-06-05,9.0,9.0,9.0,9.0,0
2024-06-06,9.0,9.0,9.0,9.0,0
2024-06-07,9.0,9.0,9.0,9.0,0
2024-06-10,9.0,9.0,9.0,9.0,0
2024-06-11,9.0,9.0,9.0,9.0,0
2024-06-12,9.0,9.0,9.0,9.0,0
2024-06-13,9.0,9.0,9.0,9.0,0
2024-06-14,9.0,9.0,9.0,9.0,0
2024-06-17,9.0,9.0,9.0,9.0,0
2024-06-18,9.0,9.0,9.0,9.0,0
2024-06-19,9.0,9.0,9.0,9.0,0
2024-06-20,9.0,9.0,9.0,9.0,0
2024-06-21,9.0,9.0,9.0,9.0,0
2024-06-24,9.0,9.0,9.0,9.0,0
2024-06-25,9.0,9.0,9.0,9.0,0
2024-06-26,9.0,9.0,9.0,9.0,0
2024-06-27,9.0,9.0,9.0,9.0,0
2024-06-28,9.0,9.0,9.0,9.0,0
2024-07-01,9.0,9.0,9.0,9.0,0
2024-07-02,9.0,9.0,9.0,9.0,0
2024-07-03,9.0,9.0,9.0,9.0,0
2024-07-04,9.0,9.0,9.0,9.0,0
2024-07-05,9.0,9.0,9.0,9.0,0
2024-07-08,9.0,9.0,9.0,9.0,0
2024-07-09,9.0,9.0,9.0,9.0,0
2024-07-10,9.0,9.0,9.0,9.0,0
2024-07-11,9.0,9.0,9.0,9.0,0
2024-07-12,9.0,9.0,9.0,9.0,0
2024-07-15,9.0,9.0,9.0,9.0,0
2024-07-16,9.0,9.0,9.0,9.0,0
2024-07-17,9.0,9.0,9.0,9.0,0
2024-07-18,9.0,9.0,9.0,9.0,0
2024-07-19,9.0,9.0,9.0,9.0,0
2024-07-22,9.0,9.0,9.0,9.0,0
2024-07-23,9.0,9.0,9.0,9.0,0
2024-07-24,9.0,9.0,9.0,9.0,0
2024-07-25,9.0,9.0,9.0,9.0,0
2024-07-26,9.0,9.0,9.0,9.0,0
2024-07-29,9.0,9.0,9.0,9.0,0
2024-07-30,9.0,9.0,9.0,9.0,0
2024-07-31,9.0,9.0,9.0,9.0,0
2024-08-01,9.0,9.0,9.0,9.0,0
2024-08-02,9.0,9.0,9.0,9.0,0
2024-08-05,9.0,9.0,9.0,9.0,0
2024-08-06,9.0,9.0,9.0,9.0,0
2024-08-07,9.0,9.0,9.0,9.0,0
2024-08-08,8.0,8.0,8.0,8.0,4000
2024-08-09,8.0,8.0,8.0,8.0,0
2024-08-12,8.0,8.0,8.0,8.0,0
2024-08-13,8.0,8.0,8.0,8.0,0
2024-08-14,8.0,8.0,8.0,8.0,0
2024-08-15,9.0,9.0,9.0,9.0,100
2024-08-16,9.0,9.0,9.0,9.0,0
2024-08-19,9.0,9.0,9.0,9.0,0
2024-08-20,9.0,9.0,9.0,9.0,0
2024-08-21,9.0,9.0,9.0,9.0,0
2024-08-22,9.0,9.0,9.0,9.0,0
2024-08-23,9.0,9.0,9.0,9.0,0
2024-08-26,9.0,9.0,9.0,9.0,0
2024-08-27,9.0,9.0,9.0,9.0,100
2024-08-28,9.1899995803833,9.1899995803833,7.989999771118164,7.989999771118164,200
2024-08-29,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,100
2024-08-30,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-02,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-03,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-04,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-05,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-06,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-09,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-10,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-11,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-12,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-13,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-16,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-17,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-18,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-19,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-20,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-23,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-24,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,100
2024-09-25,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-26,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-27,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-09-30,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-01,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-02,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-03,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-04,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-07,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-08,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-09,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-10,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-11,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-14,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-15,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-16,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-17,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-18,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-21,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-22,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-23,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
2024-10-24,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0
