Price,Close,High,Low,Open,Volume
Ticker,TENE5.SA,TENE5.SA,TENE5.SA,TENE5.SA,TENE5.SA
Date,,,,,
2024-04-11,5.0,5.0,5.0,5.0,0
2024-04-12,5.0,5.0,5.0,5.0,0
2024-04-15,5.0,5.0,5.0,5.0,0
2024-04-16,5.0,5.0,5.0,5.0,0
2024-04-17,5.0,5.0,5.0,5.0,0
2024-04-18,5.0,5.0,5.0,5.0,0
2024-04-19,5.0,5.0,5.0,5.0,0
2024-04-22,5.0,5.0,5.0,5.0,0
2024-04-23,5.0,5.0,5.0,5.0,0
2024-04-24,5.0,5.0,5.0,5.0,0
2024-04-25,5.0,5.0,5.0,5.0,0
2024-04-26,5.0,5.0,5.0,5.0,0
2024-04-29,5.0,5.0,5.0,5.0,0
2024-04-30,5.0,5.0,5.0,5.0,0
2024-05-02,5.0,5.0,5.0,5.0,0
2024-05-03,5.0,5.0,5.0,5.0,0
2024-05-06,5.0,5.0,5.0,5.0,0
2024-05-07,5.0,5.0,5.0,5.0,0
2024-05-08,5.0,5.0,5.0,5.0,0
2024-05-09,5.0,5.0,5.0,5.0,0
2024-05-10,5.0,5.0,5.0,5.0,0
2024-05-13,5.0,5.0,5.0,5.0,0
2024-05-14,5.0,5.0,5.0,5.0,0
2024-05-15,5.0,5.0,5.0,5.0,0
2024-05-16,5.0,5.0,5.0,5.0,0
2024-05-17,5.0,5.0,5.0,5.0,0
2024-05-20,5.0,5.0,5.0,5.0,0
2024-05-21,5.0,5.0,5.0,5.0,0
2024-05-22,5.0,5.0,5.0,5.0,0
2024-05-23,5.0,5.0,5.0,5.0,0
2024-05-24,5.0,5.0,5.0,5.0,0
2024-05-27,5.0,5.0,5.0,5.0,0
2024-05-28,5.0,5.0,5.0,5.0,0
2024-05-29,5.0,5.0,5.0,5.0,0
2024-05-31,5.0,5.0,5.0,5.0,0
2024-06-03,5.0,5.0,5.0,5.0,0
2024-06-04,5.0,5.0,5.0,5.0,0
2024-06-05,5.0,5.0,5.0,5.0,0
2024-06-06,5.0,5.0,5.0,5.0,0
2024-06-07,5.0,5.0,5.0,5.0,0
2024-06-10,5.0,5.0,5.0,5.0,0
2024-06-11,5.0,5.0,5.0,5.0,0
2024-06-12,5.0,5.0,5.0,5.0,0
2024-06-13,5.0,5.0,5.0,5.0,0
2024-06-14,5.0,5.0,5.0,5.0,0
2024-06-17,5.0,5.0,5.0,5.0,0
2024-06-18,5.0,5.0,5.0,5.0,0
2024-06-19,5.0,5.0,5.0,5.0,0
2024-06-20,5.0,5.0,5.0,5.0,0
2024-06-21,5.0,5.0,5.0,5.0,0
2024-06-24,5.0,5.0,5.0,5.0,0
2024-06-25,5.0,5.0,5.0,5.0,0
2024-06-26,5.0,5.0,5.0,5.0,0
2024-06-27,5.0,5.0,5.0,5.0,0
2024-06-28,5.0,5.0,5.0,5.0,0
2024-07-01,5.0,5.0,5.0,5.0,0
2024-07-02,5.0,5.0,5.0,5.0,0
2024-07-03,5.0,5.0,5.0,5.0,0
2024-07-04,5.0,5.0,5.0,5.0,0
2024-07-05,5.0,5.0,5.0,5.0,0
2024-07-08,5.0,5.0,5.0,5.0,0
2024-07-09,5.0,5.0,5.0,5.0,0
2024-07-10,5.0,5.0,5.0,5.0,0
2024-07-11,5.0,5.0,5.0,5.0,0
2024-07-12,5.0,5.0,5.0,5.0,0
2024-07-15,5.0,5.0,5.0,5.0,0
2024-07-16,5.0,5.0,5.0,5.0,0
2024-07-17,5.0,5.0,5.0,5.0,0
2024-07-18,5.0,5.0,5.0,5.0,0
2024-07-19,5.0,5.0,5.0,5.0,0
2024-07-22,5.0,5.0,5.0,5.0,0
2024-07-23,5.0,5.0,5.0,5.0,0
2024-07-24,5.0,5.0,5.0,5.0,0
2024-07-25,5.0,5.0,5.0,5.0,0
2024-07-26,5.0,5.0,5.0,5.0,0
2024-07-29,5.0,5.0,5.0,5.0,0
2024-07-30,5.0,5.0,5.0,5.0,0
2024-07-31,5.0,5.0,5.0,5.0,0
2024-08-01,5.0,5.0,5.0,5.0,0
2024-08-02,5.0,5.0,5.0,5.0,0
2024-08-05,5.0,5.0,5.0,5.0,0
2024-08-06,5.0,5.0,5.0,5.0,0
